Code,Date,Open,High,Low,Close,Volume,Value,Trades
SBR,18/01/2013,0.170,0.170,0.160,0.160,142868,23471.880,8
SBR,21/01/2013,0.170,0.170,0.165,0.165,81744,13578.345,6
SBR,22/01/2013,0.170,0.170,0.170,0.170,36000,6120.000,2
SBR,23/01/2013,0.165,0.170,0.165,0.170,387196,64551.820,16
SBR,24/01/2013,0.170,0.170,0.165,0.170,81500,13742.500,6
SBR,25/01/2013,0.175,0.185,0.170,0.175,295950,52611.250,14
SBR,29/01/2013,0.175,0.175,0.175,0.175,58850,10298.750,5
SBR,30/01/2013,0.180,0.180,0.180,0.180,75000,13500.000,5
SBR,31/01/2013,0.180,0.180,0.175,0.180,48924,8613.625,5
SBR,01/02/2013,0.180,0.180,0.175,0.175,126976,22508.680,11
SBR,04/02/2013,0.180,0.185,0.170,0.175,332100,57475.565,21
SBR,05/02/2013,0.175,0.180,0.170,0.175,200384,34658.520,16
SBR,06/02/2013,0.175,0.175,0.170,0.170,13547,2352.725,3
SBR,07/02/2013,0.175,0.175,0.165,0.165,56128,9450.430,8
SBR,08/02/2013,0.170,0.170,0.165,0.170,58797,9780.490,7
SBR,11/02/2013,0.165,0.170,0.165,0.165,63564,10552.725,12
SBR,12/02/2013,0.165,0.170,0.160,0.160,130123,20889.790,15
SBR,13/02/2013,0.165,0.165,0.160,0.160,344265,55245.890,33
SBR,14/02/2013,0.160,0.165,0.155,0.155,367162,58521.700,17
SBR,15/02/2013,0.155,0.155,0.150,0.150,304837,45924.335,15
SBR,18/02/2013,0.150,0.150,0.145,0.145,179127,26594.415,10
SBR,19/02/2013,0.155,0.155,0.145,0.155,51429,7957.205,3
SBR,20/02/2013,0.160,0.160,0.150,0.150,183500,29082.500,6
SBR,21/02/2013,0.150,0.160,0.145,0.145,699329,104677.705,23
SBR,22/02/2013,0.140,0.140,0.135,0.140,521800,72251.065,18
SBR,25/02/2013,0.140,0.140,0.130,0.130,310090,42614.520,17
SBR,26/02/2013,0.135,0.140,0.130,0.130,192469,25885.130,8
SBR,27/02/2013,0.130,0.150,0.130,0.140,751766,106450.890,55
SBR,28/02/2013,0.135,0.140,0.130,0.130,237111,31224.430,13
SBR,01/03/2013,0.130,0.135,0.130,0.130,121860,16161.725,11
SBR,04/03/2013,0.130,0.135,0.125,0.130,301656,39155.280,15
SBR,05/03/2013,0.130,0.130,0.130,0.130,43500,5655.000,3
SBR,06/03/2013,0.130,0.140,0.130,0.130,298285,39943.475,15
SBR,07/03/2013,0.140,0.140,0.130,0.140,160049,21849.230,9
SBR,08/03/2013,0.130,0.140,0.130,0.140,313287,42610.180,9
SBR,11/03/2013,0.140,0.140,0.140,0.140,36000,5040.000,2
SBR,12/03/2013,0.140,0.140,0.130,0.130,512750,68502.995,21
SBR,13/03/2013,0.130,0.130,0.130,0.130,170121,22115.730,11
SBR,14/03/2013,0.135,0.135,0.125,0.125,384960,49908.495,18
SBR,15/03/2013,0.135,0.135,0.130,0.135,355568,47194.090,16
SBR,18/03/2013,0.135,0.145,0.135,0.145,181500,25082.500,10
SBR,19/03/2013,0.140,0.140,0.125,0.130,669127,88483.680,30
SBR,20/03/2013,0.140,0.140,0.135,0.135,74388,10067.380,8
SBR,21/03/2013,0.140,0.140,0.135,0.135,135000,18775.000,9
SBR,22/03/2013,0.140,0.140,0.135,0.135,107283,14951.415,10
SBR,25/03/2013,0.135,0.135,0.130,0.130,673939,88535.925,19
SBR,26/03/2013,0.130,0.130,0.130,0.130,178500,23205.000,14
SBR,27/03/2013,0.135,0.140,0.130,0.130,242037,32624.995,11
SBR,28/03/2013,0.135,0.145,0.135,0.145,268234,37110.650,18
SBR,02/04/2013,0.145,0.145,0.140,0.145,56500,8157.500,5
SBR,03/04/2013,0.150,0.150,0.140,0.145,534500,79195.000,17
SBR,04/04/2013,0.145,0.150,0.140,0.145,247611,35156.950,11
SBR,05/04/2013,0.145,0.150,0.140,0.150,220100,32533.890,15
SBR,08/04/2013,0.145,0.165,0.135,0.135,623273,91256.890,44
SBR,09/04/2013,0.135,0.135,0.130,0.130,212000,28080.000,7
SBR,10/04/2013,0.130,0.130,0.125,0.130,375222,48341.360,14
SBR,11/04/2013,0.130,0.130,0.125,0.130,185895,23899.375,12
SBR,12/04/2013,0.125,0.135,0.125,0.135,803573,101517.125,23
SBR,15/04/2013,0.130,0.130,0.130,0.130,128700,16731.000,4
SBR,16/04/2013,0.120,0.125,0.115,0.115,718628,85997.220,17
SBR,17/04/2013,0.130,0.140,0.120,0.120,358000,45400.000,14
SBR,18/04/2013,0.125,0.125,0.115,0.115,143942,17234.030,7
SBR,19/04/2013,0.120,0.120,0.110,0.110,98400,11508.000,4
SBR,22/04/2013,0.110,0.110,0.100,0.105,308571,32712.100,14
SBR,23/04/2013,0.105,0.105,0.094,0.095,709923,68367.736,18
SBR,24/04/2013,0.100,0.100,0.100,0.100,79718,7971.800,2
SBR,26/04/2013,0.100,0.100,0.100,0.100,90000,9000.000,4
