Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,08/11/2019,0.066,0.068,0.064,0.068,215026,14075.690,10
SE1,11/11/2019,0.000,0.000,0.000,0.068,0,0.000,0
SE1,12/11/2019,0.000,0.000,0.000,0.068,0,0.000,0
SE1,13/11/2019,0.063,0.063,0.062,0.063,694388,43642.510,10
SE1,14/11/2019,0.060,0.066,0.060,0.064,175708,11112.480,9
SE1,15/11/2019,0.065,0.065,0.062,0.062,74405,4632.688,2
SE1,18/11/2019,0.068,0.069,0.065,0.067,431899,29190.068,10
SE1,19/11/2019,0.067,0.067,0.067,0.067,120000,8040.000,3
SE1,20/11/2019,0.070,0.075,0.069,0.074,690314,49426.469,18
SE1,21/11/2019,0.074,0.074,0.072,0.072,157000,11488.000,6
SE1,22/11/2019,0.072,0.074,0.072,0.073,107000,7743.000,6
SE1,25/11/2019,0.071,0.073,0.069,0.071,473501,33519.569,12
SE1,26/11/2019,0.069,0.070,0.065,0.065,544830,36165.090,10
SE1,27/11/2019,0.063,0.070,0.062,0.065,260035,17119.167,11
SE1,28/11/2019,0.063,0.063,0.060,0.062,461641,28199.222,8
SE1,29/11/2019,0.065,0.065,0.055,0.061,416442,24420.693,11
SE1,02/12/2019,0.056,0.061,0.056,0.057,60612,3553.513,6
SE1,03/12/2019,0.060,0.060,0.059,0.059,8000,476.000,2
SE1,04/12/2019,0.056,0.064,0.056,0.060,396984,23854.040,12
SE1,05/12/2019,0.059,0.061,0.059,0.061,240283,14222.697,9
SE1,06/12/2019,0.061,0.064,0.060,0.060,144597,8837.603,8
SE1,09/12/2019,0.060,0.060,0.059,0.060,202723,12070.657,5
SE1,10/12/2019,0.000,0.000,0.000,0.060,0,0.000,0
SE1,11/12/2019,0.058,0.064,0.058,0.064,133704,7814.832,4
SE1,12/12/2019,0.000,0.000,0.000,0.064,0,0.000,0
SE1,13/12/2019,0.000,0.000,0.000,0.064,0,0.000,0
SE1,16/12/2019,0.060,0.060,0.059,0.059,233010,13832.067,4
SE1,17/12/2019,0.060,0.060,0.060,0.060,35000,2100.000,1
SE1,18/12/2019,0.059,0.059,0.058,0.058,331295,19360.109,6
SE1,19/12/2019,0.057,0.060,0.057,0.059,79612,4594.404,5
SE1,20/12/2019,0.060,0.060,0.060,0.060,11801,708.060,1
SE1,23/12/2019,0.000,0.000,0.000,0.060,0,0.000,0
SE1,24/12/2019,0.000,0.000,0.000,0.060,0,0.000,0
SE1,27/12/2019,0.057,0.058,0.055,0.057,156668,8757.341,8
SE1,30/12/2019,0.057,0.058,0.057,0.058,252405,14575.894,7
SE1,31/12/2019,0.057,0.057,0.056,0.056,196540,11106.240,4
SE1,02/01/2020,0.000,0.000,0.000,0.056,0,0.000,0
SE1,03/01/2020,0.056,0.056,0.056,0.056,102460,5737.760,3
SE1,06/01/2020,0.000,0.000,0.000,0.056,0,0.000,0
SE1,07/01/2020,0.056,0.056,0.055,0.056,45203,2516.665,3
SE1,08/01/2020,0.057,0.057,0.057,0.057,4000,228.000,1
SE1,09/01/2020,0.055,0.055,0.050,0.052,1109862,57105.805,23
SE1,10/01/2020,0.052,0.053,0.049,0.052,365343,18523.817,10
SE1,13/01/2020,0.050,0.050,0.049,0.050,143500,7146.500,7
SE1,14/01/2020,0.050,0.052,0.050,0.052,183000,9158.000,6
SE1,15/01/2020,0.050,0.050,0.049,0.050,91500,4573.920,4
SE1,16/01/2020,0.050,0.050,0.050,0.050,333375,16668.750,7
SE1,17/01/2020,0.050,0.050,0.044,0.045,424280,19597.530,10
SE1,20/01/2020,0.044,0.050,0.044,0.050,620169,28321.876,10
